Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C3,47pf,C_0603_1608Metric,-103.505,-49.657,270,bottom
C4,47pf,C_0603_1608Metric,-88.773,-51.181,90,bottom
C8,47pf,C_0603_1608Metric,-77.724,-75.946,90,bottom
C9,47pf,C_0603_1608Metric,-92.583,-74.549,90,bottom
C10,100nf,C_0603_1608Metric,-110.871,-126.111,270,bottom
C11,100nf,C_0603_1608Metric,-90.678,-47.752,90,bottom
C12,100nf,C_0603_1608Metric,-82.169,-70.993,90,bottom
C13,100nf,C_0603_1608Metric,-102.235,-118.237,270,bottom
C14,100nf,C_0603_1608Metric,-98.044,-56.134,90,bottom
C15,100nf,C_0603_1608Metric,-88.011,-80.645,90,bottom
C16,100nf,C_0603_1608Metric,-85.09,-69.342,90,bottom
C17,47pf,C_0603_1608Metric,-145.415,-49.403,270,bottom
C18,47pf,C_0603_1608Metric,-130.175,-51.054,90,bottom
C22,100nf,C_0603_1608Metric,-132.08,-47.625,90,bottom
C23,100nf,C_0603_1608Metric,-123.444,-70.993,90,bottom
C24,47pf,C_0603_1608Metric,-118.618,-75.819,90,bottom
C25,47pf,C_0603_1608Metric,-134.239,-74.422,90,bottom
C26,100nf,C_0603_1608Metric,-139.573,-56.261,90,bottom
C27,100nf,C_0603_1608Metric,-129.286,-80.772,90,bottom
C28,100nf,C_0603_1608Metric,-126.111,-69.215,90,bottom
C29,47pf,C_0603_1608Metric,-186.817,-49.784,270,bottom
C30,47pf,C_0603_1608Metric,-171.069,-51.181,90,bottom
C34,47pf,C_0603_1608Metric,-160.5915,-76.5175,90,bottom
C35,47pf,C_0603_1608Metric,-176.0855,-75.184,90,bottom
C36,100nf,C_0603_1608Metric,-194.7545,-125.857,270,bottom
C37,100nf,C_0603_1608Metric,-173.101,-47.5615,90,bottom
C38,100nf,C_0603_1608Metric,-165.5445,-71.5645,90,bottom
C39,100nf,C_0603_1608Metric,-186.563,-118.364,270,bottom
C40,100nf,C_0603_1608Metric,-181.4195,-56.134,90,bottom
C41,100nf,C_0603_1608Metric,-171.5135,-81.407,90,bottom
C42,100nf,C_0603_1608Metric,-168.656,-69.9135,90,bottom
C43,47pf,C_0603_1608Metric,-225.3615,-50.165,270,bottom
C44,47pf,C_0603_1608Metric,-211.201,-51.562,90,bottom
C48,47pf,C_0603_1608Metric,-202.6285,-75.7555,90,bottom
C49,47pf,C_0603_1608Metric,-217.8685,-74.3585,90,bottom
C50,100nf,C_0603_1608Metric,-215.646,-47.0535,90,bottom
C51,100nf,C_0603_1608Metric,-207.0735,-71.247,90,bottom
C52,100nf,C_0603_1608Metric,-221.615,-56.007,90,bottom
C53,100nf,C_0603_1608Metric,-213.0425,-80.264,90,bottom
C54,100nf,C_0603_1608Metric,-210.058,-69.596,90,bottom
D1,1N5819,D_SOD-123,-76.454,-132.207,180,bottom
D2,1N5819,D_SOD-123,-76.454,-135.255,0,bottom
FB1,Ferrite,R_0603_1608Metric,-75.692,-126.111,0,bottom
FB2,Ferrite,R_0603_1608Metric,-75.946,-142.367,180,bottom
IC1,TL072,SOIC-8_3.9x4.9mm_P1.27mm,-96.012,-51.054,180,bottom
IC2,TL072,SOIC-8_3.9x4.9mm_P1.27mm,-105.283,-123.19,0,bottom
IC3,LM358,SOIC-8_3.9x4.9mm_P1.27mm,-85.09,-75.819,180,bottom
IC4,TL072,SOIC-8_3.9x4.9mm_P1.27mm,-137.668,-51.054,180,bottom
IC5,LM358,SOIC-8_3.9x4.9mm_P1.27mm,-126.365,-75.819,180,bottom
IC6,TL072,SOIC-8_3.9x4.9mm_P1.27mm,-178.943,-51.054,180,bottom
IC7,TL072,SOIC-8_3.9x4.9mm_P1.27mm,-189.484,-122.936,0,bottom
IC8,LM358,SOIC-8_3.9x4.9mm_P1.27mm,-168.402,-76.454,180,bottom
IC9,TL072,SOIC-8_3.9x4.9mm_P1.27mm,-218.6305,-51.435,180,bottom
IC10,LM358,SOIC-8_3.9x4.9mm_P1.27mm,-210.058,-75.692,180,bottom
R1,1k,R_0603_1608Metric,-96.139,-56.134,270,bottom
R2,33k,R_0603_1608Metric,-86.868,-51.181,270,bottom
R3,100k,R_0603_1608Metric,-90.678,-51.181,90,bottom
R4,100k,R_0603_1608Metric,-103.505,-53.086,90,bottom
R5,100k,R_0603_1608Metric,-101.6,-49.657,90,bottom
R6,8k2,R_0603_1608Metric,-80.899,-47.752,90,bottom
R7,100k,R_0603_1608Metric,-99.695,-124.841,90,bottom
R8,100k,R_0603_1608Metric,-101.6,-53.086,90,bottom
R9,100k,R_0603_1608Metric,-99.695,-121.285,90,bottom
R10,330R,R_0603_1608Metric,-97.663,-124.841,90,bottom
R11,2k2,R_0603_1608Metric,-105.537,-49.657,270,bottom
R12,33k,R_0603_1608Metric,-94.234,-56.134,270,bottom
R13,750R,R_1210_3225Metric,-78.486,-99.06,180,bottom
R14,100k,R_0603_1608Metric,-85.09,-80.645,270,bottom
R15,1k2,R_0603_1608Metric,-75.311,-68.072,270,bottom
R16,1k2,R_0603_1608Metric,-95.25,-68.072,90,bottom
R17,100k,R_0603_1608Metric,-82.169,-80.645,270,bottom
R18,220k,R_0603_1608Metric,-79.629,-75.946,90,bottom
R19,220k,R_0603_1608Metric,-90.678,-74.549,90,bottom
R20,51k,R_0603_1608Metric,-92.583,-78.105,90,bottom
R21,100k,R_0603_1608Metric,-75.819,-75.946,270,bottom
R22,10k,R_0603_1608Metric,-88.011,-70.993,90,bottom
R23,100k,R_0603_1608Metric,-75.819,-79.375,90,bottom
R24,1k,R_0603_1608Metric,-137.541,-56.261,270,bottom
R25,33k,R_0603_1608Metric,-128.27,-51.054,270,bottom
R26,100k,R_0603_1608Metric,-132.08,-51.054,90,bottom
R27,100k,R_0603_1608Metric,-145.415,-52.959,90,bottom
R28,100k,R_0603_1608Metric,-143.383,-49.403,90,bottom
R29,8k2,R_0603_1608Metric,-121.92,-47.625,90,bottom
R30,100k,R_0603_1608Metric,-108.2675,-131.1275,270,bottom
R31,100k,R_0603_1608Metric,-110.871,-122.682,90,bottom
R32,100k,R_0603_1608Metric,-143.383,-52.959,90,bottom
R33,330R,R_0603_1608Metric,-113.03,-122.682,90,bottom
R34,100k,R_0603_1608Metric,-108.712,-118.237,90,bottom
R35,2k2,R_0603_1608Metric,-147.447,-49.403,270,bottom
R36,33k,R_0603_1608Metric,-135.509,-56.261,270,bottom
R37,750R,R_1210_3225Metric,-119.507,-99.06,180,bottom
R38,1k2,R_0603_1608Metric,-116.586,-68.199,270,bottom
R39,100k,R_0603_1608Metric,-126.365,-80.772,270,bottom
R40,1k2,R_0603_1608Metric,-135.89,-68.199,90,bottom
R41,100k,R_0603_1608Metric,-123.444,-80.772,270,bottom
R42,220k,R_0603_1608Metric,-120.65,-75.819,90,bottom
R43,220k,R_0603_1608Metric,-132.207,-74.422,90,bottom
R44,51k,R_0603_1608Metric,-134.239,-77.978,90,bottom
R45,100k,R_0603_1608Metric,-116.586,-75.819,270,bottom
R46,10k,R_0603_1608Metric,-129.286,-70.993,90,bottom
R47,100k,R_0603_1608Metric,-116.586,-79.375,90,bottom
R48,1k,R_0603_1608Metric,-179.07,-56.134,270,bottom
R49,33k,R_0603_1608Metric,-169.037,-51.2445,270,bottom
R50,100k,R_0603_1608Metric,-173.101,-51.181,90,bottom
R51,100k,R_0603_1608Metric,-186.817,-53.213,90,bottom
R52,100k,R_0603_1608Metric,-184.785,-49.784,90,bottom
R53,8k2,R_0603_1608Metric,-164.592,-47.752,90,bottom
R54,100k,R_0603_1608Metric,-181.8005,-121.2215,90,bottom
R55,100k,R_0603_1608Metric,-183.769,-125.0315,90,bottom
R56,100k,R_0603_1608Metric,-184.785,-53.213,90,bottom
R57,330R,R_0603_1608Metric,-181.8005,-125.0315,90,bottom
R58,100k,R_0603_1608Metric,-183.769,-121.2215,90,bottom
R59,2k2,R_0603_1608Metric,-188.849,-49.784,270,bottom
R60,33k,R_0603_1608Metric,-176.657,-56.134,270,bottom
R61,750R,R_1210_3225Metric,-161.8615,-99.06,180,bottom
R62,100k,R_0603_1608Metric,-168.4655,-81.4705,270,bottom
R63,1k2,R_0603_1608Metric,-158.75,-68.2625,270,bottom
R64,100k,R_0603_1608Metric,-165.481,-81.4705,270,bottom
R65,220k,R_0603_1608Metric,-162.6235,-76.5175,90,bottom
R66,1k2,R_0603_1608Metric,-178.2445,-68.199,90,bottom
R67,220k,R_0603_1608Metric,-174.0535,-75.184,90,bottom
R68,51k,R_0603_1608Metric,-176.0855,-78.6765,90,bottom
R69,100k,R_0603_1608Metric,-158.5595,-76.5175,270,bottom
R70,10k,R_0603_1608Metric,-171.3865,-71.5645,90,bottom
R71,100k,R_0603_1608Metric,-158.5595,-80.2005,90,bottom
R72,1k,R_0603_1608Metric,-218.5035,-56.007,270,bottom
R73,33k,R_0603_1608Metric,-208.8515,-51.6255,270,bottom
R74,100k,R_0603_1608Metric,-213.6775,-51.562,90,bottom
R75,100k,R_0603_1608Metric,-225.3615,-53.5305,90,bottom
R76,100k,R_0603_1608Metric,-223.52,-50.165,90,bottom
R77,8k2,R_0603_1608Metric,-206.121,-47.0535,90,bottom
R78,100k,R_0603_1608Metric,-194.7545,-122.6185,90,bottom
R79,100k,R_0603_1608Metric,-192.532,-131.191,270,bottom
R80,100k,R_0603_1608Metric,-223.4565,-53.5305,90,bottom
R81,100k,R_0603_1608Metric,-192.4685,-118.364,90,bottom
R82,330R,R_0603_1608Metric,-196.723,-122.6185,90,bottom
R83,2k2,R_0603_1608Metric,-227.203,-50.165,270,bottom
R84,33k,R_0603_1608Metric,-211.201,-56.3245,270,bottom
R85,750R,R_1210_3225Metric,-203.8985,-99.06,180,bottom
R86,100k,R_0603_1608Metric,-210.1215,-80.264,270,bottom
R87,1k2,R_0603_1608Metric,-200.9775,-68.199,270,bottom
R88,100k,R_0603_1608Metric,-207.137,-80.264,270,bottom
R89,1k2,R_0603_1608Metric,-220.345,-68.199,90,bottom
R90,220k,R_0603_1608Metric,-204.6605,-75.7555,90,bottom
R91,220k,R_0603_1608Metric,-215.9635,-74.3585,90,bottom
R92,51k,R_0603_1608Metric,-217.8685,-77.724,90,bottom
R93,100k,R_0603_1608Metric,-200.5965,-75.7555,270,bottom
R94,10k,R_0603_1608Metric,-213.0425,-71.247,90,bottom
R95,100k,R_0603_1608Metric,-200.5965,-79.248,90,bottom
R96,100k,R_0603_1608Metric,-97.663,-121.285,90,bottom
R97,100k,R_0603_1608Metric,-108.204,-127.635,270,bottom
R98,100k,R_0603_1608Metric,-179.578,-122.9105,90,bottom
R99,100k,R_0603_1608Metric,-192.532,-127.635,270,bottom
